OCC,COUNT_TOT,WITH_INC,MED_INC,AVG_INC,COUNT_WAGE,MED_WAGE,AVG_WAGE,NOC,noc_title,harm.rank,relative.measure
0012 Senior government managers and officials,18785,18315,103405,114932,18030,103847,115565,0012,0012 Senior government managers and officials,168.134216470406,-168.134216470406
"0013 Senior managers - financial, communications and other business services",65800,58320,114942,215991,53985,122952,228481,0013,"0013 Senior managers - financial, communications and other business services",168.134216470406,-168.134216470406
"0014 Senior managers - health, education, social and community services and membership organizations",27870,26590,82126,104171,25660,83676,105713,0014,"0014 Senior managers - health, education, social and community services and membership organizations",168.134216470406,-168.134216470406
"0015 Senior managers - trade, broadcasting and other services, n.e.c.",53950,48210,76145,159398,44765,82159,168939,0015,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",175.238657141241,-175.238657141241
"0016 Senior managers - construction, transportation, production and utilities",62835,56825,97163,190444,53380,102653,199221,0016,"0016 Senior managers - construction, transportation, production and utilities",168.134216470406,-168.134216470406
0111 Financial managers,78055,75830,84119,105083,73990,84794,105549,0111,0111 Financial managers,176.006265080149,-176.006265080149
0112 Human resources managers,51875,50825,82895,92330,50200,83140,92815,0112,0112 Human resources managers,145.000401101664,-145.000401101664
0113 Purchasing managers,22625,22075,84921,97705,21705,85399,98483,0113,0113 Purchasing managers,106.509711069091,-106.509711069091
0114 Other administrative services managers,34240,32775,72301,90152,31660,73849,91450,0114,0114 Other administrative services managers,130.660499224479,-130.660499224479
"0121 Insurance, real estate and financial brokerage managers",33310,29800,82967,134031,25555,86653,143560,0121,"0121 Insurance, real estate and financial brokerage managers",97.8229603338416,-97.8229603338416
"0122 Banking, credit and other investment managers",64120,63030,79506,101952,62170,79948,102340,0122,"0122 Banking, credit and other investment managers",121.070449538918,-121.070449538918
"0124 Advertising, marketing and public relations managers",71970,68505,70159,82786,65070,71964,84918,0124,"0124 Advertising, marketing and public relations managers",152.349333880641,-152.349333880641
0125 Other business services managers,24100,21410,53748,73232,18120,59988,78398,0125,0125 Other business services managers,122.689884593229,-122.689884593229
0131 Telecommunication carriers managers,14615,14310,89437,99344,14075,90008,100243,0131,0131 Telecommunication carriers managers,8.34768986192339,-8.34768986192339
0132 Postal and courier services managers,3735,3590,58501,65679,3310,63073,68423,0132,0132 Postal and courier services managers,102.566798566698,-102.566798566698
0211 Engineering managers,20445,19785,112673,132183,19380,114038,134048,0211,0211 Engineering managers,9.65437023784934,-9.65437023784934
0212 Architecture and science managers,9295,9010,93364,108156,8790,94148,109754,0212,0212 Architecture and science managers,45.9644119026585,-45.9644119026585
0213 Computer and information systems managers,66095,63720,99566,109506,62150,100257,110976,0213,0213 Computer and information systems managers,20.0520199225235,-20.0520199225235
0311 Managers in health care,33855,32795,85647,86934,31960,86210,87316,0311,0311 Managers in health care,52.8149865051741,-52.8149865051741
0414 Other managers in public administration,8925,8820,89602,90466,8745,90199,90779,0414,0414 Other managers in public administration,215.103946474866,-215.103946474866
0421 Administrators - post-secondary education and vocational training,18180,17705,75298,82294,17365,76049,82659,0421,0421 Administrators - post-secondary education and vocational training,206.058677685302,-206.058677685302
0422 School principals and administrators of elementary and secondary education,33050,32280,102820,97026,31660,103315,98237,0422,0422 School principals and administrators of elementary and secondary education,206.18037702948,-206.18037702948
"0423 Managers in social, community and correctional services",31240,30360,57613,62576,29270,58586,63667,0423,"0423 Managers in social, community and correctional services",174.747817981067,-174.747817981067
0431 Commissioned police officers,2090,2065,114839,119203,2050,115144,118657,0431,0431 Commissioned police officers,73.1893200192476,-73.1893200192476
0432 Fire chiefs and senior firefighting officers,2535,2500,106062,104334,2490,105535,104344,0432,0432 Fire chiefs and senior firefighting officers,83.0490898488562,-83.0490898488562
"0512 Managers - publishing, motion pictures, broadcasting and performing arts",8185,7665,58248,69800,6905,61726,73968,0512,"0512 Managers - publishing, motion pictures, broadcasting and performing arts",25.5156980807399,-25.5156980807399
"0513 Recreation, sports and fitness program and service directors",13380,12580,45338,52573,11830,46684,53813,0513,"0513 Recreation, sports and fitness program and service directors",350.619896493032,-350.619896493032
0601 Corporate sales managers,71360,69575,90557,104587,67790,91774,106084,0601,0601 Corporate sales managers,126.838757349441,-126.838757349441
0621 Retail and wholesale trade managers,416720,391680,43105,58312,359350,45236,61386,0621,0621 Retail and wholesale trade managers,118.272191299796,-118.272191299796
0631 Restaurant and food service managers,138130,128255,30517,37596,118460,31689,38979,0631,0631 Restaurant and food service managers,265.064182855709,-265.064182855709
0632 Accommodation service managers,28715,25835,34604,45138,22390,38386,49812,0632,0632 Accommodation service managers,62.8715567753268,-62.8715567753268
"0651 Managers in customer and personal services, n.e.c.",30040,27050,28715,37506,21095,32528,41109,0651,"0651 Managers in customer and personal services, n.e.c.",154.745912970992,-154.745912970992
0711 Construction managers,90830,83000,67425,83418,73435,73306,89832,0711,0711 Construction managers,72.2973611014313,-72.2973611014313
0712 Home building and renovation managers,55595,46485,24307,38429,27695,33376,48358,0712,0712 Home building and renovation managers,72.2973611014313,-72.2973611014313
0714 Facility operation and maintenance managers,61535,58135,60296,72932,55460,62020,74866,0714,0714 Facility operation and maintenance managers,162.330089651479,-162.330089651479
0731 Managers in transportation,36800,34995,71855,84972,33120,73953,87734,0731,0731 Managers in transportation,136.709161381926,-136.709161381926
0821 Managers in agriculture,167270,147370,18112,28004,72300,23767,34495,0821,0821 Managers in agriculture,155.023785345489,-155.023785345489
0822 Managers in horticulture,5520,5010,25388,36562,3770,32012,43327,0822,0822 Managers in horticulture,258.018942379062,-258.018942379062
0823 Managers in aquaculture,1375,1250,47000,48342,1085,53001,52727,0823,0823 Managers in aquaculture,117.963166750581,-117.963166750581
0911 Manufacturing managers,73880,70225,74805,96052,67340,76440,98276,0911,0911 Manufacturing managers,132.075134021429,-132.075134021429
0912 Utilities managers,10745,10360,111682,134384,10070,112858,136801,0912,0912 Utilities managers,65.808278518973,-65.808278518973
1111 Financial auditors and accountants,211285,202195,58234,76156,184260,59266,74375,1111,1111 Financial auditors and accountants,123.33301820687,-123.33301820687
1112 Financial and investment analysts,55885,53870,70095,128369,52535,70662,128999,1112,1112 Financial and investment analysts,70.4058279795668,-70.4058279795668
"1113 Securities agents, investment dealers and brokers",16780,14585,55469,131633,12390,61083,148275,1113,"1113 Securities agents, investment dealers and brokers",97.156540633375,-97.156540633375
1114 Other financial officers,121820,115730,57215,88573,93340,58948,93365,1114,1114 Other financial officers,40.7016444756154,-40.7016444756154
1121 Human resources professionals,79615,77525,63588,71014,75115,64144,71631,1121,1121 Human resources professionals,194.796434600417,-194.796434600417
1122 Professional occupations in business management consulting,87855,79155,64394,79942,69085,68025,83173,1122,1122 Professional occupations in business management consulting,105.678636994537,-105.678636994537
"1123 Professional occupations in advertising, marketing and public relations",102145,96460,46582,54629,89845,47901,55850,1123,"1123 Professional occupations in advertising, marketing and public relations",67.8356525919352,-67.8356525919352
"1213 Supervisors, library, correspondence and related information workers",4850,4460,16655,29697,4360,16362,29696,1213,"1213 Supervisors, library, correspondence and related information workers",118.932738612311,-118.932738612311
"1214 Supervisors, mail and message distribution occupations",8725,8635,54625,52123,8570,54619,52134,1214,"1214 Supervisors, mail and message distribution occupations",102.566798566698,-102.566798566698
"1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",49320,48270,50461,55993,47425,50650,56386,1215,"1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",151.89796974299,-151.89796974299
1221 Administrative officers,290885,280105,44037,49092,271145,44542,49621,1221,1221 Administrative officers,188.706597573607,-188.706597573607
1222 Executive assistants,47975,47055,55151,60894,46455,55331,61054,1222,1222 Executive assistants,145.512093577687,-145.512093577687
1223 Human resources and recruitment officers,34345,32995,48987,54771,31755,49681,55349,1223,1223 Human resources and recruitment officers,180.703947016345,-180.703947016345
1224 Property administrators,54640,44685,38412,49030,38505,42179,52816,1224,1224 Property administrators,162.330089651479,-162.330089651479
1225 Purchasing agents and officers,48830,47455,57556,66888,46335,57974,67568,1225,1225 Purchasing agents and officers,118.527083288638,-118.527083288638
1226 Conference and event planners,27540,25595,33658,37301,23270,35365,37980,1226,1226 Conference and event planners,121.118955720821,-121.118955720821
1227 Court officers and justices of the peace,4950,4835,53601,59000,4685,54212,59704,1227,1227 Court officers and justices of the peace,190.74917795183,-190.74917795183
"1228 Employment insurance, immigration, border services and revenue officers",33495,33135,56866,59075,33025,56906,59128,1228,"1228 Employment insurance, immigration, border services and revenue officers",164.791854524644,-164.791854524644
1241 Administrative assistants,277475,264970,35980,36340,256245,36461,36766,1241,1241 Administrative assistants,188.706597573607,-188.706597573607
1242 Legal administrative assistants,42175,40945,44105,44021,39515,44586,44352,1242,1242 Legal administrative assistants,167.354263788645,-167.354263788645
1243 Medical administrative assistants,58475,57025,35509,34877,56370,35616,34828,1243,1243 Medical administrative assistants,149.329403367133,-149.329403367133
"1251 Court reporters, medical transcriptionists and related occupations",11655,10960,30949,31732,8340,35749,33254,1251,"1251 Court reporters, medical transcriptionists and related occupations",122.197622900427,-122.197622900427
1252 Health information management occupations,5565,5470,53212,55274,5425,53300,55444,1252,1252 Health information management occupations,190.039214579884,-190.039214579884
1253 Records management technicians,7780,7650,47155,46985,7550,47377,47188,1253,1253 Records management technicians,108.059139248971,-108.059139248971
1254 Statistical officers and related research support occupations,5115,4880,51061,52458,4730,51348,52945,1254,1254 Statistical officers and related research support occupations,25.3881103767764,-25.3881103767764
1311 Accounting technicians and bookkeepers,151810,139960,31344,38177,119100,34182,40482,1311,1311 Accounting technicians and bookkeepers,190.77206777651,-190.77206777651
1312 Insurance adjusters and claims examiners,29530,29130,57956,60688,28530,58178,60932,1312,1312 Insurance adjusters and claims examiners,194.02039142043,-194.02039142043
1313 Insurance underwriters,15520,15345,56605,63980,15110,56722,63880,1313,1313 Insurance underwriters,290.854711157256,-290.854711157256
"1314 Assessors, valuators and appraisers",12480,11675,54937,60430,10080,56485,60754,1314,"1314 Assessors, valuators and appraisers",167.837066370533,-167.837066370533
"1315 Customs, ship and other brokers",4350,4200,45443,52409,4075,45632,52907,1315,"1315 Customs, ship and other brokers",66.5041531634783,-66.5041531634783
1411 General office support workers,273775,258455,32824,33973,248955,33630,34351,1411,1411 General office support workers,286.371227389335,-286.371227389335
1414 Receptionists,175295,167230,23404,25010,164630,23470,24951,1414,1414 Receptionists,205.083165438734,-205.083165438734
1415 Personnel clerks,13200,12790,44399,46821,12640,44655,47034,1415,1415 Personnel clerks,130.368193985278,-130.368193985278
1416 Court clerks,3105,3050,46085,43778,3010,46016,43940,1416,1416 Court clerks,267.342926400664,-267.342926400664
1422 Data entry clerks,42720,40340,29648,31218,39190,30085,31515,1422,1422 Data entry clerks,132.881693339976,-132.881693339976
1423 Desktop publishing operators and related occupations,1805,1745,44362,49586,1570,48051,52608,1423,1423 Desktop publishing operators and related occupations,33.1522947822777,-33.1522947822777
1431 Accounting and related clerks,160140,154205,38777,41168,148190,39245,41600,1431,1431 Accounting and related clerks,190.77206777651,-190.77206777651
1432 Payroll administrators,36715,36075,48868,49602,35725,48919,49686,1432,1432 Payroll clerks,258.567962214596,-258.567962214596
"1434 Banking, insurance and other financial clerks",26255,25565,42082,47972,24855,42265,48312,1434,"1434 Banking, insurance and other financial clerks",161.366190164903,-161.366190164903
1435 Collectors,15300,14840,39398,39277,14665,39575,39323,1435,1435 Collectors,164.791854524644,-164.791854524644
1451 Library assistants and clerks,19075,18495,21742,24835,18410,21605,24601,1451,1451 Library assistants and clerks,152.018782682006,-152.018782682006
"1452 Correspondence, publication and regulatory clerks",26610,25640,43122,44773,24755,43712,45516,1452,"1452 Correspondence, publication and regulatory clerks",216.492869494037,-216.492869494037
1454 Survey interviewers and statistical clerks,32890,28510,4699,15363,27525,4479,15404,1454,1454 Survey interviewers and statistical clerks,86.6785912108521,-86.6785912108521
"1511 Mail, postal and related workers",32535,31785,36528,36809,31335,36665,36875,1511,"1511 Mail, postal and related workers",352.231972869851,-352.231972869851
1512 Letter carriers,31110,30465,52440,46924,29490,53622,47660,1512,1512 Letter carriers,432.754212984661,-432.754212984661
"1513 Couriers, messengers and door-to-door distributors",33650,24750,18808,26386,17405,23020,28760,1513,"1513 Couriers, messengers and door-to-door distributors",416.171432384819,-416.171432384819
1521 Shippers and receivers,119135,115935,33586,35053,114845,33675,35030,1521,1521 Shippers and receivers,260.734353047205,-260.734353047205
1523 Production logistics co-ordinators,27445,26890,50990,58565,26620,51237,58697,1523,1523 Production logistics co-ordinators,162.508712658078,-162.508712658078
1524 Purchasing and inventory control workers,33095,31700,37153,38563,31335,37300,38713,1524,1524 Purchasing and inventory control workers,194.411327428377,-194.411327428377
1525 Dispatchers,40725,39620,46372,49275,38710,46923,49763,1525,1525 Dispatchers,59.8104872861901,-59.8104872861901
1526 Transportation route and crew schedulers,6740,6595,49372,52739,6470,49682,53118,1526,1526 Transportation route and crew schedulers,112.462193552971,-112.462193552971
2111 Physicists and astronomers,3135,2995,84244,88162,2910,85599,89824,2111,2111 Physicists and astronomers,24.257844237548,-24.257844237548
2112 Chemists,14345,13710,63812,70448,13420,64169,70818,2112,2112 Chemists,59.8198813092973,-59.8198813092973
2113 Geoscientists and oceanographers,13125,12105,88150,130026,11320,91902,135747,2113,2113 Geoscientists and oceanographers,55.3283550718474,-55.3283550718474
2114 Meteorologists and climatologists,1180,1165,84250,79652,1135,84873,81236,2114,2114 Meteorologists and climatologists,48.6750142362497,-48.6750142362497
2121 Biologists and related scientists,23090,22140,62310,66944,21365,63040,67660,2121,2121 Biologists and related scientists,98.4560346033185,-98.4560346033185
2122 Forestry professionals,4945,4740,73097,72115,4420,74668,74129,2122,2122 Forestry professionals,90.0545407396331,-90.0545407396331
"2123 Agricultural representatives, consultants and specialists",7460,7115,53682,56392,6505,55835,57839,2123,"2123 Agricultural representatives, consultants and specialists",135.006029612124,-135.006029612124
2131 Civil engineers,61610,58500,80801,91927,56245,82302,93686,2131,2131 Civil engineers,16.1739505632991,-16.1739505632991
2132 Mechanical engineers,57455,55085,80958,91552,53115,82184,93183,2132,2132 Mechanical engineers,7.08948740225891,-7.08948740225891
2133 Electrical and electronics engineers,49165,46895,89592,96880,45335,90868,98549,2133,2133 Electrical and electronics engineers,14.0772551893414,-14.0772551893414
2134 Chemical engineers,13075,12510,93198,117531,12195,93860,118996,2134,2134 Chemical engineers,15.6778142081493,-15.6778142081493
2141 Industrial and manufacturing engineers,17435,16820,77018,86098,16435,77581,86890,2141,2141 Industrial and manufacturing engineers,31.3326043719309,-31.3326043719309
2142 Metallurgical and materials engineers,2965,2855,92589,98894,2800,93228,99886,2142,2142 Metallurgical and materials engineers,21.8225967822876,-21.8225967822876
2143 Mining engineers,3865,3680,113568,126163,3555,114731,127464,2143,2143 Mining engineers,15.0583354045347,-15.0583354045347
2144 Geological engineers,3185,3015,88361,108926,2955,88786,109111,2144,2144 Geological engineers,15.0583354045347,-15.0583354045347
2145 Petroleum engineers,9185,8700,139857,174528,8470,142146,177256,2145,2145 Petroleum engineers,23.2897187413022,-23.2897187413022
2146 Aerospace engineers,6595,6355,85018,87909,6235,85243,88207,2146,2146 Aerospace engineers,6.69633592851143,-6.69633592851143
2147 Computer engineers (except software engineers and designers),24935,23630,87725,92020,22945,88429,93231,2147,2147 Computer engineers (except software engineers and designers),7.61103633916555,-7.61103633916555
"2148 Other professional engineers, n.e.c.",5365,5030,72726,74645,4745,75052,76285,2148,"2148 Other professional engineers, n.e.c.",22.3648998348983,-22.3648998348983
2151 Architects,18080,16460,60970,72885,14210,64103,76258,2151,2151 Architects,55.9527212495898,-55.9527212495898
2152 Landscape architects,2215,2055,55453,60983,1835,58074,64112,2152,2152 Landscape architects,82.977921812205,-82.977921812205
2153 Urban and land use planners,13205,12765,72259,73935,12270,73383,74672,2153,2153 Urban and land use planners,158.859256661088,-158.859256661088
2154 Land surveyors,8340,8055,65204,79207,7615,65329,79133,2154,2154 Land surveyors,32.258987789742,-32.258987789742
"2161 Mathematicians, statisticians and actuaries",13315,12910,76922,93946,12645,77137,94308,2161,"2161 Mathematicians, statisticians and actuaries",24.5221890860744,-24.5221890860744
2171 Information systems analysts and consultants,170360,161280,74749,75749,153765,75629,77045,2171,2171 Information systems analysts and consultants,19.8501132123609,-19.8501132123609
2172 Database analysts and data administrators,22710,21855,72560,74397,21330,73687,74976,2172,2172 Database analysts and data administrators,8.79397818085353,-8.79397818085353
2173 Software engineers and designers,50965,47970,84323,88528,46310,85057,89549,2173,2173 Software engineers and designers,6.20219613782658,-6.20219613782658
2174 Computer programmers and interactive media developers,111115,105280,68357,68815,100175,69247,69768,2174,2174 Computer programmers and interactive media developers,4.29932544161264,-4.29932544161264
2175 Web designers and developers,29020,26290,38135,41773,22005,41695,44068,2175,2175 Web designers and developers,9.20696901172828,-9.20696901172828
2211 Chemical technologists and technicians,25640,25030,48338,54088,24770,48544,54304,2211,2211 Chemical technologists and technicians,159.665059263704,-159.665059263704
2212 Geological and mineral technologists and technicians,9690,9290,66372,77390,9095,66998,78235,2212,2212 Geological and mineral technologists and technicians,86.6133004609658,-86.6133004609658
2221 Biological technologists and technicians,11160,10785,39242,41588,10475,39863,41911,2221,2221 Biological technologists and technicians,116.529279984497,-116.529279984497
2222 Agricultural and fish products inspectors,4765,4685,63467,59949,4610,63895,60491,2222,2222 Agricultural and fish products inspectors,213.089954996462,-213.089954996462
2223 Forestry technologists and technicians,7780,7585,47259,48795,7340,47749,49021,2223,2223 Forestry technologists and technicians,93.5291001534993,-93.5291001534993
2224 Conservation and fishery officers,5440,5370,56414,53716,5325,56234,53700,2224,2224 Conservation and fishery officers,124.219117681358,-124.219117681358
2225 Landscape and horticulture technicians and specialists,21290,19795,25556,32206,17275,27188,33485,2225,2225 Landscape and horticulture technicians and specialists,358.567319618805,-358.567319618805
2231 Civil engineering technologists and technicians,25495,24780,54990,58125,24365,55389,58466,2231,2231 Civil engineering technologists and technicians,52.3533948092301,-52.3533948092301
2232 Mechanical engineering technologists and technicians,22905,22090,62711,65680,21475,63379,66457,2232,2232 Mechanical engineering technologists and technicians,48.1713924066209,-48.1713924066209
2233 Industrial engineering and manufacturing technologists and technicians,18485,18070,55803,59057,17680,56204,59529,2233,2233 Industrial engineering and manufacturing technologists and technicians,27.8962823780232,-27.8962823780232
2234 Construction estimators,23190,22210,61224,72374,21115,62785,74374,2234,2234 Construction estimators,54.3866261513506,-54.3866261513506
2241 Electrical and electronics engineering technologists and technicians,46390,44995,60038,64198,43450,61430,65430,2241,2241 Electrical and electronics engineering technologists and technicians,21.9720772504596,-21.9720772504596
2242 Electronic service technicians (household and business equipment),54650,51485,43630,45515,46590,46163,47805,2242,2242 Electronic service technicians (household and business equipment),34.6512586498207,-34.6512586498207
2243 Industrial instrument technicians and mechanics,10165,9875,85853,93867,9720,86478,94635,2243,2243 Industrial instrument technicians and mechanics,64.2997925285515,-64.2997925285515
"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",6535,6395,70628,69881,6300,70913,70103,2244,"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",52.1245482962093,-52.1245482962093
2251 Architectural technologists and technicians,11325,10665,47696,50501,9570,50015,52225,2251,2251 Architectural technologists and technicians,52.8799965418155,-52.8799965418155
2252 Industrial designers,9695,8930,48988,54275,8120,50943,56360,2252,2252 Industrial designers,16.9853403576276,-16.9853403576276
2253 Drafting technologists and technicians,29755,28585,48138,51858,26835,49112,52996,2253,2253 Drafting technologists and technicians,42.0075802600556,-42.0075802600556
2254 Land survey technologists and technicians,5295,5155,42510,45990,5115,42477,45776,2254,2254 Land survey technologists and technicians,60.6143780834979,-60.6143780834979
2255 Technical occupations in geomatics and meteorology,9195,8980,59875,60662,8725,60579,61275,2255,2255 Technical occupations in geomatics and meteorology,23.2277799907562,-23.2277799907562
2261 Non-destructive testers and inspection technicians,7575,7285,72101,81484,7100,72434,81829,2261,2261 Non-destructive testers and inspection technicians,210.982202800708,-210.982202800708
2262 Engineering inspectors and regulatory officers,6010,5810,73305,78191,5640,74617,79545,2262,2262 Engineering inspectors and regulatory officers,312.741330026693,-312.741330026693
2263 Inspectors in public and environmental health and occupational health and safety,36130,34895,68356,71533,33965,68939,72198,2263,2263 Inspectors in public and environmental health and occupational health and safety,99.6464930867871,-99.6464930867871
2264 Construction inspectors,17105,16130,60858,63204,15115,62372,65186,2264,2264 Construction inspectors,112.770688407771,-112.770688407771
"2271 Air pilots, flight engineers and flying instructors",18035,17560,90577,106764,17155,91720,108306,2271,"2271 Air pilots, flight engineers and flying instructors",65.072648699085,-65.072648699085
2272 Air traffic controllers and related occupations,4860,4800,95074,110331,4755,95483,110696,2272,2272 Air traffic controllers and related occupations,76.6306194173736,-76.6306194173736
"2273 Deck officers, water transport",5865,5715,78338,87814,5575,78373,87862,2273,"2273 Deck officers, water transport",112.650778048358,-112.650778048358
"2274 Engineer officers, water transport",2500,2460,84935,89779,2430,85316,89204,2274,"2274 Engineer officers, water transport",98.1600069573073,-98.1600069573073
